product_id,product_name,category,product_status,paid_submission,row_provenance,apti_earned,apti_available,apti_total,apti_band,unknown_count,determinate_items,applicable_items,determinability_rate,apti_equal,apti_equal_band,apti_unknown_excluded,apti_unknown_excluded_band,s2_available,apti_component_a_earned,apti_component_a_available,apti_component_a_ratio,apti_component_b_earned,apti_component_b_available,apti_component_b_ratio,apti_component_c_earned,apti_component_c_available,apti_component_c_ratio,apti_component_d_earned,apti_component_d_available,apti_component_d_ratio,apti_component_e_earned,apti_component_e_available,apti_component_e_ratio,apti_component_f_earned,apti_component_f_available,apti_component_f_ratio,item_A1,item_A2,item_A3,item_B1,item_B2,item_B3,item_C1,item_C2,item_C3,item_C4,item_C5,item_D1,item_D2,item_D3,item_D4,item_E1,item_E2,item_E3,item_F1,item_F2,unknown_items,scoring_notes
runway,Runway,AI video generator,active,no,primary,90.5,100.0,90.5,Determinable,1,18,20,0.9,92.4,Determinable,93.3,Determinable,97.0,20.0,20.0,1.0,13.0,15.0,0.87,19.5,25.0,0.78,18.0,20.0,0.9,10.0,10.0,1.0,10.0,10.0,1.0,8.0,7.0,5.0,5.0,3.0,5.0,6.0,7.0,2.5,4.0,0.0,6.0,2.0,6.0,4.0,5.0,3.0,2.0,6.0,4.0,C5,
sapling,Sapling AI Detector,AI detector,active,no,adjudicated,54.0,63.0,85.7,Determinable,0,12,12,1.0,84.0,Mostly determinable,85.7,Determinable,63.0,13.0,13.0,1.0,15.0,15.0,1.0,5.0,5.0,1.0,18.0,20.0,0.9,0.0,0.0,not_applicable,3.0,10.0,0.3,8.0,removed,5.0,5.0,5.0,5.0,removed,removed,5.0,removed,removed,6.0,2.0,6.0,4.0,removed,removed,removed,3.0,0.0,,
shortsfaceless,ShortsFaceless,Faceless video,active,no,primary,67.0,88.0,76.1,Mostly determinable,4,13,18,0.72,83.7,Mostly determinable,94.4,Determinable,71.0,13.0,13.0,1.0,10.0,10.0,1.0,18.0,25.0,0.72,6.0,20.0,0.3,10.0,10.0,1.0,10.0,10.0,1.0,8.0,removed,5.0,5.0,removed,5.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,3.0,2.0,6.0,4.0,C4 | C5 | D1 | D4,
speechify,Speechify,AI voice,active,no,primary,64.0,76.0,84.2,Mostly determinable,3,12,16,0.75,81.5,Mostly determinable,94.1,Determinable,68.0,13.0,13.0,1.0,13.0,15.0,0.87,5.0,8.0,0.63,18.0,20.0,0.9,5.0,10.0,0.5,10.0,10.0,1.0,8.0,removed,5.0,5.0,3.0,5.0,removed,removed,5.0,removed,0.0,6.0,2.0,6.0,4.0,5.0,0.0,0.0,6.0,4.0,C5 | E2 | E3,
squarespace,Squarespace,AI website builder,active,no,adjudicated,65.0,95.0,68.4,Partly determinable,3,16,19,0.84,70.0,Mostly determinable,76.5,Mostly determinable,85.0,20.0,20.0,1.0,10.0,10.0,1.0,5.0,25.0,0.2,20.0,20.0,1.0,7.0,10.0,0.7,3.0,10.0,0.3,8.0,7.0,5.0,5.0,removed,5.0,0.0,0.0,5.0,0.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,3.0,0.0,C4 | C5 | E2,
stable-audio,Stable Audio,AI music generator,active,no,primary,68.0,76.0,89.5,Determinable,2,13,16,0.81,86.5,Determinable,97.1,Determinable,70.0,13.0,13.0,1.0,13.0,15.0,0.87,5.0,8.0,0.63,20.0,20.0,1.0,7.0,10.0,0.7,10.0,10.0,1.0,8.0,removed,5.0,5.0,3.0,5.0,removed,removed,5.0,removed,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,6.0,4.0,C5 | E2,
suno,Suno,AI music generator,active,no,primary,63.0,100.0,63.0,Partly determinable,3,16,20,0.8,66.3,Partly determinable,70.8,Mostly determinable,89.0,15.0,20.0,0.75,13.0,15.0,0.87,4.0,25.0,0.16,18.0,20.0,0.9,7.0,10.0,0.7,6.0,10.0,0.6,8.0,7.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,6.0,4.0,5.0,0.0,2.0,6.0,0.0,A3 | C5 | E2,
synthesia,Synthesia,AI avatar,active,no,primary,89.7,100.0,89.7,Determinable,1,18,20,0.9,88.6,Determinable,92.5,Determinable,97.0,16.7,20.0,0.84,15.0,15.0,1.0,22.0,25.0,0.88,20.0,20.0,1.0,10.0,10.0,1.0,6.0,10.0,0.6,8.0,7.0,1.7,5.0,5.0,5.0,6.0,7.0,5.0,4.0,0.0,6.0,4.0,6.0,4.0,5.0,3.0,2.0,6.0,0.0,C5,
teal,Teal,AI resume builder,active,no,adjudicated,59.0,93.0,63.4,Partly determinable,4,14,19,0.74,67.2,Partly determinable,75.6,Mostly determinable,78.0,13.0,13.0,1.0,11.0,15.0,0.73,5.0,25.0,0.2,18.0,20.0,0.9,2.0,10.0,0.2,10.0,10.0,1.0,8.0,removed,5.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,6.0,4.0,0.0,0.0,2.0,6.0,4.0,C4 | C5 | E1 | E2,
udio,Udio,AI music generator,active,no,adjudicated,90.0,100.0,90.0,Determinable,2,16,20,0.8,88.6,Determinable,95.7,Determinable,94.0,20.0,20.0,1.0,11.0,15.0,0.73,22.0,25.0,0.88,20.0,20.0,1.0,7.0,10.0,0.7,10.0,10.0,1.0,8.0,7.0,5.0,5.0,3.0,3.0,6.0,7.0,5.0,4.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,6.0,4.0,C5 | E2,
undetectable-ai,Undetectable AI,AI humanizer,active,no,adjudicated,52.0,83.0,62.7,Partly determinable,4,11,17,0.65,53.8,Partly determinable,74.3,Mostly determinable,70.0,20.0,20.0,1.0,6.0,15.0,0.4,5.0,8.0,0.63,18.0,20.0,0.9,0.0,10.0,0.0,3.0,10.0,0.3,8.0,7.0,5.0,0.0,3.0,3.0,removed,removed,5.0,removed,0.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,3.0,0.0,C5 | E1 | E2 | E3,
vidnoz,Vidnoz,AI avatar,active,no,adjudicated,92.3,100.0,92.3,Determinable,1,18,20,0.9,94.1,Determinable,95.2,Determinable,97.0,20.0,20.0,1.0,15.0,15.0,1.0,22.0,25.0,0.88,15.3,20.0,0.77,10.0,10.0,1.0,10.0,10.0,1.0,8.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,4.0,0.0,6.0,2.0,6.0,1.3,5.0,3.0,2.0,6.0,4.0,C5,
winston-ai,Winston AI,AI detector,active,no,primary,73.0,85.0,85.9,Determinable,1,15,16,0.94,81.6,Mostly determinable,89.0,Determinable,82.0,20.0,20.0,1.0,10.0,10.0,1.0,22.0,25.0,0.88,18.0,20.0,0.9,0.0,0.0,not_applicable,3.0,10.0,0.3,8.0,7.0,5.0,5.0,removed,5.0,6.0,7.0,5.0,4.0,0.0,6.0,2.0,6.0,4.0,removed,removed,removed,3.0,0.0,C5,
wix,Wix,AI website builder,active,no,adjudicated,70.0,100.0,70.0,Mostly determinable,2,18,20,0.9,67.7,Partly determinable,76.1,Mostly determinable,92.0,18.0,20.0,0.9,15.0,15.0,1.0,9.0,25.0,0.36,20.0,20.0,1.0,5.0,10.0,0.5,3.0,10.0,0.3,8.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,6.0,4.0,6.0,4.0,0.0,3.0,2.0,3.0,0.0,C5 | E1,
writehuman,WriteHuman,AI humanizer,active,no,primary,73.0,83.0,88.0,Determinable,3,13,17,0.76,83.2,Mostly determinable,97.3,Determinable,75.0,20.0,20.0,1.0,13.0,15.0,0.87,5.0,8.0,0.63,20.0,20.0,1.0,5.0,10.0,0.5,10.0,10.0,1.0,8.0,7.0,5.0,5.0,3.0,5.0,removed,removed,5.0,removed,0.0,6.0,4.0,6.0,4.0,5.0,0.0,0.0,6.0,4.0,C5 | E2 | E3,
xseek,xSeek,AI bot checker,active,no,primary,43.0,68.0,63.2,Partly determinable,4,9,14,0.64,58.3,Partly determinable,82.7,Mostly determinable,52.0,13.0,13.0,1.0,10.0,10.0,1.0,0.0,5.0,0.0,10.0,20.0,0.5,0.0,10.0,0.0,10.0,10.0,1.0,8.0,removed,5.0,5.0,removed,5.0,removed,removed,0.0,removed,removed,0.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,4.0,D1 | E1 | E2 | E3,
zety,Zety,AI resume builder,active,no,primary,68.0,80.0,85.0,Determinable,1,13,16,0.81,85.0,Determinable,88.3,Determinable,77.0,20.0,20.0,1.0,6.0,15.0,0.4,5.0,5.0,1.0,20.0,20.0,1.0,7.0,10.0,0.7,10.0,10.0,1.0,8.0,7.0,5.0,0.0,3.0,3.0,removed,removed,5.0,removed,removed,6.0,4.0,6.0,4.0,5.0,0.0,2.0,6.0,4.0,E2,
