product_id,product_name,category,product_status,paid_submission,row_provenance,apti_earned,apti_available,apti_total,apti_band,unknown_count,determinate_items,applicable_items,determinability_rate,apti_equal,apti_equal_band,apti_unknown_excluded,apti_unknown_excluded_band,s2_available,apti_component_a_earned,apti_component_a_available,apti_component_a_ratio,apti_component_b_earned,apti_component_b_available,apti_component_b_ratio,apti_component_c_earned,apti_component_c_available,apti_component_c_ratio,apti_component_d_earned,apti_component_d_available,apti_component_d_ratio,apti_component_e_earned,apti_component_e_available,apti_component_e_ratio,apti_component_f_earned,apti_component_f_available,apti_component_f_ratio,item_A1,item_A2,item_A3,item_B1,item_B2,item_B3,item_C1,item_C2,item_C3,item_C4,item_C5,item_D1,item_D2,item_D3,item_D4,item_E1,item_E2,item_E3,item_F1,item_F2,unknown_items,scoring_notes
hyperleap,Hyperleap AI,AI bot checker,active,no,primary,59.0,71.0,83.1,Mostly determinable,2,13,15,0.87,78.8,Mostly determinable,93.7,Determinable,63.0,13.0,13.0,1.0,10.0,10.0,1.0,5.0,8.0,0.63,20.0,20.0,1.0,5.0,10.0,0.5,6.0,10.0,0.6,8.0,removed,5.0,5.0,removed,5.0,removed,removed,5.0,removed,0.0,6.0,4.0,6.0,4.0,0.0,3.0,2.0,6.0,0.0,C5 | E1,
ideogram,Ideogram AI,AI image generator,active,no,primary,86.5,100.0,86.5,Determinable,2,17,20,0.85,84.1,Mostly determinable,92.0,Determinable,94.0,20.0,20.0,1.0,13.0,15.0,0.87,19.5,25.0,0.78,20.0,20.0,1.0,7.0,10.0,0.7,7.0,10.0,0.7,8.0,7.0,5.0,5.0,3.0,5.0,6.0,7.0,2.5,4.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,3.0,4.0,C5 | E2,
invideo-ai,InVideo AI,Faceless video,active,no,primary,76.5,100.0,76.5,Mostly determinable,1,18,20,0.9,77.9,Mostly determinable,78.9,Mostly determinable,97.0,20.0,20.0,1.0,8.0,15.0,0.53,13.5,25.0,0.54,18.0,20.0,0.9,10.0,10.0,1.0,7.0,10.0,0.7,8.0,7.0,5.0,0.0,3.0,5.0,6.0,3.5,0.0,4.0,0.0,6.0,2.0,6.0,4.0,5.0,3.0,2.0,3.0,4.0,C5,
ismybrandinai,Is My Brand In AI,AI bot checker,active,no,adjudicated,25.0,37.0,suppressed,suppressed,3,5,8,0.63,suppressed,suppressed,suppressed,suppressed,25.0,0.0,0.0,not_applicable,10.0,15.0,0.67,5.0,5.0,1.0,6.0,6.0,1.0,0.0,7.0,0.0,4.0,4.0,1.0,removed,removed,removed,0.0,5.0,5.0,removed,removed,5.0,removed,removed,6.0,removed,removed,removed,0.0,removed,0.0,removed,4.0,B1 | E1 | E3,
jobscan,Jobscan,AI resume builder,active,no,adjudicated,60.5,93.0,65.1,Partly determinable,5,13,19,0.68,57.4,Partly determinable,79.6,Mostly determinable,76.0,13.0,13.0,1.0,13.0,15.0,0.87,14.5,25.0,0.58,20.0,20.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,8.0,removed,5.0,5.0,3.0,5.0,6.0,3.5,5.0,0.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,C4 | C5 | E1 | E2 | E3,
julius-ai,Julius AI,AI data analysis,active,no,primary,60.0,100.0,60.0,Partly determinable,3,16,20,0.8,57.1,Partly determinable,67.4,Partly determinable,89.0,20.0,20.0,1.0,13.0,15.0,0.87,4.0,25.0,0.16,18.0,20.0,0.9,2.0,10.0,0.2,3.0,10.0,0.3,8.0,7.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,6.0,4.0,0.0,0.0,2.0,3.0,0.0,C5 | E1 | E2,
kling-ai,Kling AI,AI video generator,active,no,primary,82.0,93.0,88.2,Determinable,0,18,19,0.95,83.9,Mostly determinable,88.2,Determinable,93.0,13.0,13.0,1.0,11.0,15.0,0.73,25.0,25.0,1.0,20.0,20.0,1.0,10.0,10.0,1.0,3.0,10.0,0.3,8.0,removed,5.0,3.0,5.0,3.0,6.0,7.0,5.0,4.0,3.0,6.0,4.0,6.0,4.0,5.0,3.0,2.0,3.0,0.0,,
krea-ai,Krea AI,AI image generator,active,no,adjudicated,89.0,100.0,89.0,Determinable,1,18,20,0.9,83.9,Mostly determinable,91.8,Determinable,97.0,20.0,20.0,1.0,11.0,15.0,0.73,25.0,25.0,1.0,20.0,20.0,1.0,7.0,10.0,0.7,6.0,10.0,0.6,8.0,7.0,5.0,3.0,3.0,5.0,6.0,7.0,5.0,4.0,3.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,6.0,0.0,E2,
leonardo-ai,Leonardo AI,AI image generator,active,no,primary,76.0,93.0,81.7,Mostly determinable,2,16,19,0.84,76.9,Mostly determinable,87.4,Determinable,87.0,13.0,13.0,1.0,11.0,15.0,0.73,22.0,25.0,0.88,20.0,20.0,1.0,7.0,10.0,0.7,3.0,10.0,0.3,8.0,removed,5.0,3.0,3.0,5.0,6.0,7.0,5.0,4.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,3.0,0.0,C5 | E2,
lovo-ai,LOVO AI,AI voice,discontinued,no,primary,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued,excluded_discontinued
